"B081","BLUE SKY GARMENT ENTERPRISE","TGM","25","152.10","114.07","38.03","8","3"
"B081","BLUE SKY GARMENT ENTERPRISE","TI1","25","2661.45","2007.29","654.16","152","9"
"B081","BLUE SKY GARMENT ENTERPRISE","TI2","25","2649.50","1992.62","656.88","150","8"
"B081","BLUE SKY GARMENT ENTERPRISE","TML","25","382.40","286.80","95.60","25","2"
"B081","BLUE SKY GARMENT ENTERPRISE","TPH","20","85.05","68.04","17.01","9","1"
"B099","BILLION COMMERCE SDN BHD","BER","12","7885.30","6282.87","1602.43","213","52"
"B099","BILLION COMMERCE SDN BHD","BGJ","25","6833.05","5534.24","1298.81","176","37"
"B099","BILLION COMMERCE SDN BHD","BT2","12","9621.80","7797.36","1824.44","264","46"
"B099","BILLION COMMERCE SDN BHD","GMS","18","5213.00","4278.84","934.16","168","37"
"B099","BILLION COMMERCE SDN BHD","GRK","18","4818.20","3930.72","887.48","122","35"
"B099","BILLION COMMERCE SDN BHD","IBN","18","4313.75","3529.58","784.17","135","27"
"B099","BILLION COMMERCE SDN BHD","JRT","18","4646.30","3915.76","730.54","145","28"
"B099","BILLION COMMERCE SDN BHD","MR","18","4570.45","3773.65","796.80","158","28"
"B099","BILLION COMMERCE SDN BHD","PDS","25","3240.90","2624.98","615.92","93","37"
"B099","BILLION COMMERCE SDN BHD","RB","18","11989.80","9613.41","2376.39","227","39"
"B099","BILLION COMMERCE SDN BHD","SGB","18","2579.80","2020.80","559.00","73","32"
"B099","BILLION COMMERCE SDN BHD","SGP","12","5765.50","4876.99","888.51","209","25"
"B099","BILLION COMMERCE SDN BHD","SGS","15","3611.80","2910.26","701.54","89","30"
"B099","BILLION COMMERCE SDN BHD","SM2","18","5878.10","4804.34","1073.76","170","34"
"B099","BILLION COMMERCE SDN BHD","SPE","12","595.40","520.80","74.60","30","8"
"B099","BILLION COMMERCE SDN BHD","TGM","18","5036.45","4174.03","862.42","159","30"
"B099","BILLION COMMERCE SDN BHD","TJG","15","1310.20","1062.78","247.42","40","24"
"B099","BILLION COMMERCE SDN BHD","TKK","18","570.00","467.40","102.60","34","13"
"B099","BILLION COMMERCE SDN BHD","TML","12","3850.80","3225.22","625.58","150","25"
"C050","CHERRIEFON DISTRIBUTOR","BGJ","20","302.20","241.76","60.44","14","5"
"C050","CHERRIEFON DISTRIBUTOR","JRT","20","169.00","135.20","33.80","9","1"
"C050","CHERRIEFON DISTRIBUTOR","PDS","20","152.10","121.68","30.42","8","3"
"C050","CHERRIEFON DISTRIBUTOR","SGS","20","220.70","176.56","44.14","10","3"
"C050","CHERRIEFON DISTRIBUTOR","TI1","20","78.50","62.80","15.70","5","3"
"C072","CHIP HWA SDN BHD","BER","20","1366.85","1102.60","264.25","55","20"
"C072","CHIP HWA SDN BHD","BGJ","18","10237.30","8290.50","1946.80","355","55"
"C072","CHIP HWA SDN BHD","BT2","18","13690.30","11088.91","2601.39","364","57"
"C072","CHIP HWA SDN BHD","GMS","20","2715.58","2196.67","518.91","95","35"
"C072","CHIP HWA SDN BHD","IBN","20","2661.95","2160.01","501.94","103","39"
"C072","CHIP HWA SDN BHD","JRT","18","6796.60","5502.66","1293.94","246","36"
"C072","CHIP HWA SDN BHD","KLP","18","7234.70","5856.34","1378.36","191","55"
"C072","CHIP HWA SDN BHD","MR","20","9149.65","7391.81","1757.84","266","53"
"C072","CHIP HWA SDN BHD","MTK","20","95.65","77.27","18.38","5","4"
"C072","CHIP HWA SDN BHD","NSB","20","2647.95","2137.74","510.21","82","42"
"C072","CHIP HWA SDN BHD","PDS","20","7464.85","6043.48","1421.37","191","53"
"C072","CHIP HWA SDN BHD","PLU","20","1903.85","1535.11","368.74","58","27"
"C072","CHIP HWA SDN BHD","RB","18","7376.60","5955.38","1421.22","219","61"
"C072","CHIP HWA SDN BHD","SGB","20","5018.40","4055.44","962.96","162","72"
"C072","CHIP HWA SDN BHD","SGM","18","1793.15","1448.06","345.08","53","28"
"C072","CHIP HWA SDN BHD","SGS","20","15793.85","12775.75","3018.10","373","64"
"C072","CHIP HWA SDN BHD","SNW","20","1656.30","1343.91","312.39","65","28"
"C072","CHIP HWA SDN BHD","SPE","20","347.10","280.86","66.24","13","10"
"C072","CHIP HWA SDN BHD","TGM","18","5470.75","4426.67","1044.08","157","60"
"C072","CHIP HWA SDN BHD","TI1","20","1669.10","1347.55","321.55","53","28"
"C072","CHIP HWA SDN BHD","TKK","20","914.45","740.28","174.17","28","20"
"C072","CHIP HWA SDN BHD","TML","20","2165.65","1745.93","419.72","72","29"
"C072","CHIP HWA SDN BHD","TPH","18","1791.80","1455.28","336.52","45","31"
"C113","CHONG WAH CORPORATION SDN. BHD.","BER","30","703.65","492.55","211.10","27","28"
"C113","CHONG WAH CORPORATION SDN. BHD.","BGJ","30","2401.65","1681.16","720.50","142","81"
"C113","CHONG WAH CORPORATION SDN. BHD.","BT2","30","284.05","198.84","85.21","12","10"
"C113","CHONG WAH CORPORATION SDN. BHD.","GMS","30","627.30","439.11","188.19","47","33"
"C113","CHONG WAH CORPORATION SDN. BHD.","GRK","30","2408.45","1685.92","722.54","114","92"
"C113","CHONG WAH CORPORATION SDN. BHD.","IBN","30","2063.60","1444.52","619.08","110","80"
"C113","CHONG WAH CORPORATION SDN. BHD.","KLP","30","1145.95","802.16","343.79","39","37"
"C113","CHONG WAH CORPORATION SDN. BHD.","MR","30","1524.45","1067.12","457.34","82","65"
"C113","CHONG WAH CORPORATION SDN. BHD.","MTK","30","1605.85","1124.36","481.49","77","53"
"C113","CHONG WAH CORPORATION SDN. BHD.","PDS","30","1970.35","1379.24","591.10","105","77"
"C113","CHONG WAH CORPORATION SDN. BHD.","RB","30","114.70","80.29","34.41","3","2"
"C113","CHONG WAH CORPORATION SDN. BHD.","SGB","30","2618.85","1833.20","785.66","176","118"
"C113","CHONG WAH CORPORATION SDN. BHD.","SGS","30","2609.25","1826.48","782.78","231","138"
"C113","CHONG WAH CORPORATION SDN. BHD.","SM2","30","317.14","222.00","95.14","28","20"
"C113","CHONG WAH CORPORATION SDN. BHD.","SMJ","30","603.15","422.21","180.95","29","30"
"C113","CHONG WAH CORPORATION SDN. BHD.","TGM","30","2371.25","1662.17","709.08","126","102"
"C113","CHONG WAH CORPORATION SDN. BHD.","TI1","30","1275.70","892.99","382.71","65","60"
"C113","CHONG WAH CORPORATION SDN. BHD.","TI2","30","2494.35","1746.05","748.30","132","82"
"C113","CHONG WAH CORPORATION SDN. BHD.","TJG","30","1022.45","714.96","307.49","49","50"
"C113","CHONG WAH CORPORATION SDN. BHD.","TML","30","1823.40","1276.38","547.02","76","56"
"C113","CHONG WAH CORPORATION SDN. BHD.","TPH","30","1180.10","826.07","354.03","83","58"
"C117","CHIAO HUAT SDN BHD","GMS","18","10217.00","8395.54","1821.46","133","15"
"C117","CHIAO HUAT SDN BHD","JRT","15","6419.60","5379.18","1040.42","132","9"
"C117","CHIAO HUAT SDN BHD","RB","18","20586.50","16733.98","3852.51","293","20"
"C132","CHEETAH CORPORATION(M) SDN BHD","BER","15","4028.95","3376.17","652.78","102","13"
"C132","CHEETAH CORPORATION(M) SDN BHD","BGJ","15","6198.25","5170.44","1027.81","159","19"
"C132","CHEETAH CORPORATION(M) SDN BHD","BT2","15","9636.00","8070.83","1565.17","226","25"
"C132","CHEETAH CORPORATION(M) SDN BHD","GMS","18","3758.70","3129.10","629.60","92","19"
"C132","CHEETAH CORPORATION(M) SDN BHD","GRK","15","4619.25","3874.71","744.54","170","16"
"C132","CHEETAH CORPORATION(M) SDN BHD","IBN","15","3911.65","3298.68","612.98","134","12"
"C132","CHEETAH CORPORATION(M) SDN BHD","JRT","15","5530.30","4694.27","836.03","138","17"
"C132","CHEETAH CORPORATION(M) SDN BHD","KLP","18","6525.25","5458.30","1066.95","153","23"
"C132","CHEETAH CORPORATION(M) SDN BHD","PDS","18","4431.45","3702.96","728.49","108","16"
"C132","CHEETAH CORPORATION(M) SDN BHD","RB","15","22316.70","18793.19","3523.51","412","34"
"C132","CHEETAH CORPORATION(M) SDN BHD","SGB","18","13322.45","11044.85","2277.60","360","28"
"C132","CHEETAH CORPORATION(M) SDN BHD","SGS","15","29509.35","24907.01","4602.34","622","21"
"C132","CHEETAH CORPORATION(M) SDN BHD","TGM","15","11115.40","9390.34","1725.06","218","16"
"C132","CHEETAH CORPORATION(M) SDN BHD","TI1","15","12289.10","10323.81","1965.29","284","25"
"C132","CHEETAH CORPORATION(M) SDN BHD","TML","15","3737.50","3134.50","603.00","99","24"
"C178","COOPTREND","GMS","30","84.90","59.43","25.47","6","1"
"C178","COOPTREND","GRK","30","28.50","19.95","8.55","2","2"
"C178","COOPTREND","MTK","25","150.80","108.76","42.04","9","3"
"C178","COOPTREND","SGB","30","158.35","110.84","47.50","9","3"
"C178","COOPTREND","TGM","30","16.00","11.20","4.80","1","1"
"C178","COOPTREND","TI1","30","37.50","26.25","11.25","2","1"
"C259","CHOON KEONG ENTERPRISE","BER","30","475.30","332.71","142.59","26","5"
"C259","CHOON KEONG ENTERPRISE","BGJ","30","807.30","565.11","242.19","62","8"
"C259","CHOON KEONG ENTERPRISE","BT1","30","240.70","168.49","72.21","32","5"
"C259","CHOON KEONG ENTERPRISE","BT2","30","557.40","390.18","167.22","41","10"
"C259","CHOON KEONG ENTERPRISE","GMS","30","658.40","460.88","197.52","59","8"
"C259","CHOON KEONG ENTERPRISE","IBN","30","88.00","61.60","26.40","8","4"
"C259","CHOON KEONG ENTERPRISE","JRT","30","702.80","491.96","210.84","43","6"
"C259","CHOON KEONG ENTERPRISE","KLP","30","638.50","446.95","191.55","49","11"
"C259","CHOON KEONG ENTERPRISE","MR","30","215.70","150.99","64.71","14","6"
"C259","CHOON KEONG ENTERPRISE","MTK","30","449.20","314.44","134.76","36","9"
"C259","CHOON KEONG ENTERPRISE","NSB","30","15.90","11.13","4.77","1","1"
"C259","CHOON KEONG ENTERPRISE","PDS","30","397.10","277.97","119.13","29","10"
"C259","CHOON KEONG ENTERPRISE","PLU","30","110.10","77.07","33.03","9","4"
"C259","CHOON KEONG ENTERPRISE","RB","30","780.10","546.07","234.03","66","12"
"C259","CHOON KEONG ENTERPRISE","SGB","30","1303.40","912.38","391.02","104","9"
"C259","CHOON KEONG ENTERPRISE","SGM","30","6.90","4.83","2.07","1","1"
"C259","CHOON KEONG ENTERPRISE","SGS","30","985.80","690.06","295.74","74","10"
"C259","CHOON KEONG ENTERPRISE","SM2","30","188.50","131.95","56.55","19","6"
"C259","CHOON KEONG ENTERPRISE","TGM","30","708.70","496.09","212.61","50","8"
"C259","CHOON KEONG ENTERPRISE","TI1","30","39.40","27.58","11.82","4","3"
"C259","CHOON KEONG ENTERPRISE","TI2","30","114.30","80.01","34.29","7","3"
"C259","CHOON KEONG ENTERPRISE","TKK","30","256.80","179.76","77.04","23","5"
"C259","CHOON KEONG ENTERPRISE","TML","30","812.00","568.40","243.60","42","9"
"C259","CHOON KEONG ENTERPRISE","TPH","30","954.50","668.15","286.35","82","6"
"C273","CNJ FACTORY","GMS","33","89.80","60.17","29.63","2","2"
"C273","CNJ FACTORY","JRT","33","149.70","100.30","49.40","2","3"
"C273","CNJ FACTORY","KLP","33","179.80","120.47","59.33","2","2"
"C273","CNJ FACTORY","MR","33","269.50","180.57","88.93","4","3"
"C273","CNJ FACTORY","MTK","33","29.90","20.03","9.87","1","1"
"C273","CNJ FACTORY","PDS","33","359.30","240.73","118.57","7","3"
"C273","CNJ FACTORY","PLU","33","59.90","40.13","19.77","1","1"
"C273","CNJ FACTORY","RB","33","239.60","160.53","79.07","3","3"
"C273","CNJ FACTORY","SGB","33","119.90","80.33","39.57","1","1"
"C273","CNJ FACTORY","SGP","33","389.10","260.70","128.40","2","2"
"C273","CNJ FACTORY","SGS","33","689.00","461.63","227.37","4","4"
"C273","CNJ FACTORY","SM2","33","29.90","20.03","9.87","1","1"
"C273","CNJ FACTORY","SMJ","33","119.70","80.20","39.50","2","2"
"C273","CNJ FACTORY","TI1","33","239.70","160.60","79.10","2","2"
"C273","CNJ FACTORY","TI2","33","419.30","280.93","138.37","6","4"
"C273","CNJ FACTORY","TKK","33","29.90","20.03","9.87","1","1"
"C273","CNJ FACTORY","TML","33","239.40","160.40","79.00","6","2"
"C273","CNJ FACTORY","TPH","33","179.80","120.47","59.33","2","2"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BER","15","19441.46","16525.24","2916.22","3493","28"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BGJ","15","20424.03","17360.43","3063.60","3652","29"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BT1","15","9221.92","7838.63","1383.29","1519","31"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","BT2","15","18932.61","16092.72","2839.89","3364","31"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","GMS","15","28194.31","23965.16","4229.15","4723","49"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","GRK","15","12754.18","10841.05","1913.13","2418","30"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","IBN","15","17415.80","14803.43","2612.37","3071","32"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","JRT","15","24458.79","20789.97","3668.82","4198","31"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","KKD","15","3839.91","3263.92","575.99","815","22"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","KLM","15","3651.83","3104.06","547.77","676","21"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","KLP","15","26067.79","22157.62","3910.17","4273","30"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","MR","15","30852.59","26224.70","4627.89","5410","45"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","MTK","15","19895.25","16910.96","2984.29","3840","31"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","NSB","15","7587.74","6449.58","1138.16","1468","39"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","PDS","15","40563.68","34479.13","6084.55","5743","41"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","PLU","15","4637.99","3942.29","695.70","977","38"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","RB","15","39898.96","33914.12","5984.84","6280","32"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGB","15","16486.61","14013.62","2472.99","2834","35"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGM","15","4900.49","4165.42","735.07","1023","26"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGP","15","4476.52","3805.04","671.48","731","22"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SGS","15","16346.90","13894.87","2452.04","2841","29"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SM2","15","14437.84","12272.16","2165.68","2735","29"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SMJ","15","15188.89","12910.56","2278.33","2529","29"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SNW","15","7131.57","6061.83","1069.74","1451","24"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","SPE","15","5597.53","4757.90","839.63","1097","20"
"C277","CAMIDAS ENTERPRISE-CONSIGMENT","TGM","15","17673.03","15022.08","2650.95","3114","35"
